TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:22.326539;249537427;1.8;9.9;1;10;53.33333333333333
2024-11-12 18:03:22.371298;249537915;18.0;9.9;2;10;53.33333333333333
2024-11-12 18:03:22.416244;249539273;41.2;9.9;4;10;53.33333333333333
2024-11-12 18:03:22.461308;249544235;132.4;9.7;7;10;53.33333333333333
2024-11-12 18:03:22.506249;249553655;204.5;10.1;9;11;53.33333333333333
2024-11-12 18:03:22.551619;249567442;340.2;11.5;18;12;53.33333333333333
2024-11-12 18:03:22.596253;249590673;573.5;12.1;28;13;53.33333333333333
2024-11-12 18:03:22.641289;249624480;810.7;13.4;45;15;53.33333333333333
2024-11-12 18:03:22.686316;249677407;1116.2;15.9;63;18;53.33333333333333
2024-11-12 18:03:22.731287;249736326;1288.9;18.3;76;20;53.33333333333333
2024-11-12 18:03:22.776373;249799550;1341.5;19.4;81;20;53.33333333333333
2024-11-12 18:03:22.821366;249861850;1250.6;19.2;64;18;53.33333333333333
2024-11-12 18:03:22.866216;249918975;992.7;15.7;30;9;53.33333333333333
2024-11-12 18:03:22.911388;249954424;564.2;8.8;9;5;53.33333333333333
2024-11-12 18:03:22.956607;249972332;198.9;5.3;1;5;53.33333333333333
2024-11-12 18:03:23.001480;249976603;-6.2;5.3;-2;5;55.55555555555555
2024-11-12 18:03:23.046254;249967238;-327.0;5.0;-7;5;55.55555555555555
2024-11-12 18:03:23.091319;249940042;-680.4;5.7;-18;6;55.55555555555555
2024-11-12 18:03:23.136757;249886524;-1424.1;7.7;-55;14;55.55555555555555
2024-11-12 18:03:23.181316;249799700;-1945.8;14.1;-95;20;55.55555555555555
2024-11-12 18:03:23.226310;249695405;-1892.4;19.9;-90;20;55.55555555555555
2024-11-12 18:03:23.271542;249619309;-1433.6;18.5;-52;15;55.55555555555555
2024-11-12 18:03:23.316618;249568375;-888.1;13.9;-19;12;55.55555555555555
2024-11-12 18:03:23.361330;249540575;-420.8;11.0;-5;10;55.55555555555555
2024-11-12 18:03:23.406260;249529183;-139.0;9.7;1;9;55.55555555555555
2024-11-12 18:03:23.451376;249528426;1.3;8.8;1;9;55.55555555555555
2024-11-12 18:03:23.496251;249528824;17.6;8.8;1;9;55.55555555555555
2024-11-12 18:03:23.541370;249529558;21.9;8.8;2;9;55.55555555555555
2024-11-12 18:03:23.586208;249532664;84.5;9.2;6;10;55.55555555555555
2024-11-12 18:03:23.631304;249540641;180.4;9.9;7;10;55.55555555555555
2024-11-12 18:03:23.676334;249552135;279.3;9.9;14;11;55.55555555555555
2024-11-12 18:03:23.721303;249571447;506.4;11.0;25;12;55.55555555555555
2024-11-12 18:03:23.766198;249606267;753.9;12.3;37;14;55.55555555555555
2024-11-12 18:03:23.811310;249650454;1006.1;14.8;54;17;55.55555555555555
2024-11-12 18:03:23.856206;249704791;1214.4;18.1;77;20;55.55555555555555
2024-11-12 18:03:23.901494;249767124;1334.1;19.6;84;20;55.55555555555555
2024-11-12 18:03:23.946828;249836227;1311.4;19.9;78;20;55.55555555555555
2024-11-12 18:03:23.991543;249895639;1185.0;16.8;51;12;55.55555555555555
2024-11-12 18:03:24.036633;249942517;809.1;11.0;13;5;55.55555555555555
